route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible
1.3.1,1.3.H2344,1.3.10412506,"Zona Universitària",1,1.3.300.2,1
1.3.1,1.3.H2344,1.3.10412508,"Zona Universitària",1,1.3.300.2,1
1.3.1,1.3.H2344,1.3.10412510,"Zona Universitària",1,1.3.300.2,1
1.3.1,1.3.H2344,1.3.10412513,"Zona Universitària",1,1.3.300.2,1
1.2.1,1.2.H2077,1.2.10412157,"Badalona Pompeu Fabra",0,1.2.200.1,1
1.2.1,1.2.H2077,1.2.10412159,"Badalona Pompeu Fabra",0,1.2.200.1,1
1.2.1,1.2.H2077,1.2.10412161,"Badalona Pompeu Fabra",0,1.2.200.1,1
1.2.1,1.2.H2077,1.2.10412162,"Paral·lel",1,1.2.200.2,1
1.2.1,1.2.H2077,1.2.10412164,"Paral·lel",1,1.2.200.2,1
1.2.1,1.2.H2077,1.2.10412166,"Paral·lel",1,1.2.200.2,1
1.2.1,1.2.H2077,1.2.10412168,"Paral·lel",1,1.2.200.2,1
1.2.1,1.2.H2077,1.2.10412170,"Paral·lel",1,1.2.200.2,1
1.2.1,1.2.H2077,1.2.10412172,"Paral·lel",1,1.2.200.2,1
1.2.1,1.2.H2077,1.2.10412173,"Badalona Pompeu Fabra",0,1.2.200.1,1
1.2.1,1.2.H2077,1.2.10412175,"Badalona Pompeu Fabra",0,1.2.200.1,1
1.2.1,1.2.H2077,1.2.10412177,"Badalona Pompeu Fabra",0,1.2.200.1,1
1.2.1,1.2.H2077,1.2.10412179,"Badalona Pompeu Fabra",0,1.2.200.1,1
1.3.1,1.3.H2344,1.3.10412515,"Zona Universitària",1,1.3.300.2,1
1.3.1,1.3.H2344,1.3.10412570,"Zona Universitària",1,1.3.300.2,1
1.3.1,1.3.H2344,1.3.10412574,"Zona Universitària",1,1.3.300.2,1
1.3.1,1.3.H2344,1.3.10412576,"Zona Universitària",1,1.3.300.2,1
1.3.1,1.3.H2344,1.3.10412582,"Zona Universitària",1,1.3.300.2,1
1.3.1,1.3.H2344,1.3.10412587,"Zona Universitària",1,1.3.300.2,1
1.3.1,1.3.H2344,1.3.10412589,"Zona Universitària",1,1.3.300.2,1
1.3.1,1.3.H2344,1.3.10412730,"Zona Universitària",1,1.3.300.2,1
1.3.1,1.3.H2344,1.3.10412732,"Zona Universitària",1,1.3.300.2,1
1.3.1,1.3.H2344,1.3.10412734,"Zona Universitària",1,1.3.300.2,1
1.3.1,1.3.H2344,1.3.10412738,"Zona Universitària",1,1.3.300.2,1
1.3.1,1.3.H2344,1.3.10412740,"Zona Universitària",1,1.3.300.2,1
1.3.1,1.3.H2344,1.3.10412744,"Zona Universitària",1,1.3.300.2,1
1.3.1,1.3.H2344,1.3.10412746,"Zona Universitària",1,1.3.300.2,1
1.3.1,1.3.H2344,1.3.10412748,"Zona Universitària",1,1.3.300.2,1
